clients,mean_round_time_sec,mean_total_time_min,messages_per_round_mean,total_messages_mean,bytes_sent_mb_mean,bytes_received_mb_mean,accuracy_per_mb_mean,notes
2,0.0022024703733359275,0.0009279777166669748,4.0,100.0,0.19683837890625,0.05054473876953125,3.789668465690054,Stable convergence under Dirichlet non-IID partitioning.
5,0.0025339967866708927,0.0010681731777778068,10.0,250.0,0.492095947265625,0.12636184692382812,1.5158673862760217,Stable convergence under Dirichlet non-IID partitioning.
10,0.003029269800003931,0.0012767323944444797,20.0,500.0,0.98419189453125,0.25272369384765625,0.7548713347818976,Stable convergence under Dirichlet non-IID partitioning.
20,0.004676863800004867,0.0019695498944441977,40.0,1000.0,1.9683837890625,0.5054473876953125,0.3789668465690054,Stable convergence under Dirichlet non-IID partitioning.
