clients,mean_round_time_sec,mean_total_time_min,messages_per_round_mean,total_messages_mean,bytes_sent_mb_mean,bytes_received_mb_mean,accuracy_per_mb_mean,notes
2,0.002350093840000227,0.0009899070611109233,4.0,100.0,0.19683837890625,0.05054473876953125,3.736077194458073,Stable convergence under Dirichlet non-IID partitioning.
5,0.002703501933337975,0.0011397832222226295,10.0,250.0,0.492095947265625,0.12636184692382812,1.506680311207682,Stable convergence under Dirichlet non-IID partitioning.
10,0.0032891312133248598,0.0013868868333335943,20.0,500.0,0.98419189453125,0.25272369384765625,0.7579336931380108,Stable convergence under Dirichlet non-IID partitioning.
20,0.004116158293324285,0.0017341034944447782,40.0,1000.0,1.9683837890625,0.5054473876953125,0.3789668465690054,Stable convergence under Dirichlet non-IID partitioning.
