round,global_accuracy,global_loss,round_duration_s,participating_clients,bytes_sent,bytes_received,messages_sent,messages_received,mean_local_loss,mean_local_accuracy
1,0.9318181818181818,0.41343849897384644,0.007162046000075861,20,82560,82720,20,20,0.03612918446306139,0.999537037037037
2,0.9431818181818182,0.33718761801719666,0.00762327000006735,20,82560,82720,20,20,0.06868643667612559,0.9909656084656084
3,0.9375,0.293413907289505,0.009023934999959238,20,82560,82720,20,20,0.03969414366001729,0.9942857142857143
4,0.9375,0.27151787281036377,0.007419837000043117,20,82560,82720,20,20,0.030638044222724405,0.9985714285714286
5,0.9375,0.2628500163555145,0.007152891000032469,20,82560,82720,20,20,0.02647838474949893,1.0
6,0.9318181818181818,0.2482585459947586,0.007208727000033832,20,82560,82720,20,20,0.024688107753195253,1.0
7,0.9375,0.2376805692911148,0.008711664999964341,20,82560,82720,20,20,0.029342598235285778,1.0
8,0.9375,0.23165754973888397,0.009375435000038124,20,82560,82720,20,20,0.02359219294743866,1.0
9,0.9318181818181818,0.22736038267612457,0.007169220999912795,20,82560,82720,20,20,0.03054273084310353,1.0
10,0.9375,0.22335590422153473,0.007338104000154999,20,82560,82720,20,20,0.022045287978949092,1.0
11,0.9375,0.2237016260623932,0.008312431000149445,20,82560,82720,20,20,0.021024074197612208,1.0
12,0.9375,0.2138064056634903,0.008962149000126374,20,82560,82720,20,20,0.02197935517933729,1.0
13,0.9318181818181818,0.21545042097568512,0.007089076999818644,20,82560,82720,20,20,0.01950324265130803,1.0
14,0.9375,0.2147904485464096,0.007018789000085235,20,82560,82720,20,20,0.019284911882823507,1.0
15,0.9261363636363636,0.21316510438919067,0.007128773999966143,20,82560,82720,20,20,0.018886443633164163,1.0
16,0.9375,0.2108619213104248,0.009118070000113221,20,82560,82720,20,20,0.018140950192173478,1.0
17,0.9375,0.21026672422885895,0.00721273499993913,20,82560,82720,20,20,0.018897285668936094,1.0
18,0.9318181818181818,0.20670247077941895,0.007026952999922287,20,82560,82720,20,20,0.018531139667902607,1.0
19,0.9318181818181818,0.2082807868719101,0.00701638800001092,20,82560,82720,20,20,0.017135776277791594,1.0
20,0.9375,0.2077663540840149,0.010224698000001808,20,82560,82720,20,20,0.016674911682639505,1.0
21,0.9375,0.2061489224433899,0.00781823100010115,20,82560,82720,20,20,0.016465274041547674,1.0
22,0.9375,0.20702652633190155,0.0070863050000298244,20,82560,82720,20,20,0.01721933458466083,1.0
23,0.9375,0.2056228518486023,0.007470554000065022,20,82560,82720,20,20,0.01620484336599475,1.0
24,0.9375,0.20538772642612457,0.00934090600003401,20,82560,82720,20,20,0.015970183433091735,1.0
25,0.9318181818181818,0.2049568146467209,0.007417804999931832,20,82560,82720,20,20,0.01623179304006044,1.0
