round,global_accuracy,global_loss,round_duration_s,participating_clients,bytes_sent,bytes_received,messages_sent,messages_received,mean_local_loss,mean_local_accuracy
1,0.9204545454545454,0.4024486541748047,0.0031537099999923157,10,41280,10600,10,10,0.07289111478021368,0.9817136150234742
2,0.9147727272727273,0.29919204115867615,0.0029961170000660786,10,41280,10600,10,10,0.06188030829653144,0.9871830985915493
3,0.9261363636363636,0.2730812430381775,0.002975188000050366,10,41280,10600,10,10,0.0692408150061965,0.9745305164319249
4,0.9204545454545454,0.26359793543815613,0.002971337999952084,10,41280,10600,10,10,0.044235831731930374,0.99
5,0.9090909090909091,0.2603929936885834,0.0030188350000344144,10,41280,10600,10,10,0.02901537506841123,1.0
6,0.9034090909090909,0.25191307067871094,0.002980992000061633,10,41280,10600,10,10,0.02363243973813951,1.0
7,0.9034090909090909,0.2461782991886139,0.0030390680000209613,10,41280,10600,10,10,0.025820897473022342,1.0
8,0.9034090909090909,0.23601871728897095,0.002878602000009778,10,41280,10600,10,10,0.021422751992940903,1.0
9,0.9034090909090909,0.2375466674566269,0.0029537909999817202,10,41280,10600,10,10,0.020273912465199828,1.0
10,0.9034090909090909,0.24016684293746948,0.0028859990000000835,10,41280,10600,10,10,0.01943241050466895,1.0
11,0.9090909090909091,0.23634405434131622,0.002917402999969454,10,41280,10600,10,10,0.020008613541722297,1.0
12,0.9147727272727273,0.23490597307682037,0.002973066999970797,10,41280,10600,10,10,0.02157891201786697,0.995
13,0.9090909090909091,0.2340008169412613,0.002864853000005496,10,41280,10600,10,10,0.01620205692015588,1.0
14,0.9147727272727273,0.2310326099395752,0.002986030999977629,10,41280,10600,10,10,0.017848908063024284,1.0
15,0.9147727272727273,0.23080755770206451,0.0030207739999923433,10,41280,10600,10,10,0.015826824633404613,1.0
16,0.9147727272727273,0.22801581025123596,0.0030590520000259858,10,41280,10600,10,10,0.01674923705868423,1.0
17,0.9147727272727273,0.22768697142601013,0.00304323500006376,10,41280,10600,10,10,0.01687741610221565,1.0
18,0.9090909090909091,0.22932644188404083,0.002913538000029803,10,41280,10600,10,10,0.01782840988598764,1.0
19,0.9090909090909091,0.2259703278541565,0.0028324559999646226,10,41280,10600,10,10,0.04881231593899429,0.98
20,0.9090909090909091,0.22745361924171448,0.002877632000036101,10,41280,10600,10,10,0.013731693243607878,1.0
21,0.9147727272727273,0.22629676759243011,0.0029008540000177163,10,41280,10600,10,10,0.014716570591554045,1.0
22,0.9147727272727273,0.22502513229846954,0.0029209609999725217,10,41280,10600,10,10,0.014289155462756753,1.0
23,0.9147727272727273,0.2269778698682785,0.0030852769999683005,10,41280,10600,10,10,0.014507307019084693,1.0
24,0.9204545454545454,0.22494953870773315,0.0029475369999545364,10,41280,10600,10,10,0.014347743755206466,1.0
25,0.9204545454545454,0.22408290207386017,0.002930918000060956,10,41280,10600,10,10,0.013704266538843513,1.0
