round,global_accuracy,global_loss,round_duration_s,participating_clients,bytes_sent,bytes_received,messages_sent,messages_received,mean_local_loss,mean_local_accuracy
1,0.9318181818181818,0.3585625886917114,0.003617721000068741,10,41280,5460,10,10,0.05984388273209333,0.9867996201329534
2,0.9375,0.29944589734077454,0.003225885000006201,10,41280,5460,10,10,0.03151197526603937,1.0
3,0.9375,0.27485787868499756,0.0031687700000020413,10,41280,5460,10,10,0.029006716795265675,1.0
4,0.9318181818181818,0.2578023672103882,0.003150394999920536,10,41280,5460,10,10,0.02837196197360754,0.9991452991452991
5,0.9318181818181818,0.23775772750377655,0.0032596409999996467,10,41280,5460,10,10,0.025764973647892476,1.0
6,0.9318181818181818,0.23118381202220917,0.0033782099999370985,10,41280,5460,10,10,0.02377672167494893,1.0
7,0.9375,0.22470079362392426,0.0031170519999932367,10,41280,5460,10,10,0.022566917818039656,1.0
8,0.9375,0.2184465378522873,0.003147979999994277,10,41280,5460,10,10,0.03108139503747225,0.9984615384615385
9,0.9375,0.21906210482120514,0.0031648560000121506,10,41280,5460,10,10,0.02000895729288459,1.0
10,0.9375,0.2069358378648758,0.0032809809999889694,10,41280,5460,10,10,0.02877699490636587,0.9991452991452991
11,0.9431818181818182,0.20315222442150116,0.0031985589999976582,10,41280,5460,10,10,0.019985795300453902,1.0
12,0.9375,0.20039725303649902,0.003254824999999073,10,41280,5460,10,10,0.01785270506516099,1.0
13,0.9431818181818182,0.19525974988937378,0.0032219930000110253,10,41280,5460,10,10,0.019142776634544133,1.0
14,0.9488636363636364,0.19456563889980316,0.004334218999929362,10,41280,5460,10,10,0.017529816552996635,1.0
15,0.9488636363636364,0.19222532212734222,0.0030963190000647955,10,41280,5460,10,10,0.01845025271177292,0.9984615384615385
16,0.9488636363636364,0.1951766461133957,0.003116610999995828,10,41280,5460,10,10,0.015788329020142555,1.0
17,0.9488636363636364,0.19686707854270935,0.0030979209999486557,10,41280,5460,10,10,0.01600840426981449,1.0
18,0.9488636363636364,0.19612225890159607,0.0041483710000420615,10,41280,5460,10,10,0.016039559058845042,1.0
19,0.9488636363636364,0.1956268697977066,0.008498503999931017,10,41280,5460,10,10,0.015049356874078513,1.0
20,0.9375,0.1920422911643982,0.007439795999971466,10,41280,5460,10,10,0.01652412684634328,1.0
21,0.9431818181818182,0.19416934251785278,0.005027013999892915,10,41280,5460,10,10,0.014994702208787203,1.0
22,0.9375,0.19339770078659058,0.007691134999959104,10,41280,5460,10,10,0.014257553499192,1.0
23,0.9375,0.18834400177001953,0.006806151999967369,10,41280,5460,10,10,0.014048757590353489,1.0
24,0.9431818181818182,0.18719378113746643,0.0029503790000262597,10,41280,5460,10,10,0.013373860437422991,1.0
25,0.9431818181818182,0.18790587782859802,0.0029459850001103405,10,41280,5460,10,10,0.013647000677883625,1.0
