round,global_accuracy,global_loss,round_duration_s,participating_clients,bytes_sent,bytes_received,messages_sent,messages_received,mean_local_loss,mean_local_accuracy
1,0.9147727272727273,0.2463180422782898,0.002765210000006846,2,8256,1092,2,2,0.0716638108715415,0.98301329394387
2,0.9261363636363636,0.22557488083839417,0.0022626259999469767,2,8256,1092,2,2,0.030640882439911366,0.9977843426883308
3,0.9375,0.19531561434268951,0.0028665869999713323,2,8256,1092,2,2,0.017691683489829302,1.0
4,0.9318181818181818,0.2078075408935547,0.0023619669999561665,2,8256,1092,2,2,0.015486433636397123,1.0
5,0.9318181818181818,0.19543121755123138,0.0022585570000046573,2,8256,1092,2,2,0.012905606999993324,1.0
6,0.9204545454545454,0.2141280323266983,0.0022151789999043103,2,8256,1092,2,2,0.011388075537979603,1.0
7,0.9318181818181818,0.21488480269908905,0.0022533279999379374,2,8256,1092,2,2,0.009063921868801117,1.0
8,0.9375,0.21739722788333893,0.0022652530000186744,2,8256,1092,2,2,0.00897987512871623,1.0
9,0.9318181818181818,0.22275009751319885,0.002252361999921959,2,8256,1092,2,2,0.008567242417484522,1.0
10,0.9431818181818182,0.23353485763072968,0.002406778000022314,2,8256,1092,2,2,0.007910988759249449,1.0
11,0.9318181818181818,0.2310439497232437,0.0023391290000063236,2,8256,1092,2,2,0.008159027434885502,1.0
12,0.9261363636363636,0.24276170134544373,0.0022556540000095993,2,8256,1092,2,2,0.006975596304982901,1.0
13,0.9204545454545454,0.2510508894920349,0.0022919479999927717,2,8256,1092,2,2,0.007137643406167626,1.0
14,0.9147727272727273,0.2611570656299591,0.0025628439999536567,2,8256,1092,2,2,0.006538527552038431,1.0
15,0.9090909090909091,0.2680555284023285,0.002156039000055898,2,8256,1092,2,2,0.005835115676745772,1.0
16,0.9147727272727273,0.2728448808193207,0.0020690049999529947,2,8256,1092,2,2,0.005696415435522795,1.0
17,0.9204545454545454,0.27168500423431396,0.0020568730000150026,2,8256,1092,2,2,0.0057023861445486546,1.0
18,0.9204545454545454,0.26519978046417236,0.0021044659999915893,2,8256,1092,2,2,0.005176695296540856,1.0
19,0.9204545454545454,0.26395320892333984,0.002096183000048768,2,8256,1092,2,2,0.004704449791461229,1.0
20,0.9204545454545454,0.2644210457801819,0.002121613999975125,2,8256,1092,2,2,0.004970758454874158,1.0
21,0.9204545454545454,0.2717028558254242,0.0022029790000033245,2,8256,1092,2,2,0.004660797072574496,1.0
22,0.9204545454545454,0.27024003863334656,0.0021136899999874004,2,8256,1092,2,2,0.004705428145825863,1.0
23,0.9204545454545454,0.2678847312927246,0.002066196999976455,2,8256,1092,2,2,0.004864996997639537,1.0
24,0.9204545454545454,0.267624169588089,0.0020409679999602304,2,8256,1092,2,2,0.004763218457810581,1.0
25,0.9318181818181818,0.26541873812675476,0.00210481500005244,2,8256,1092,2,2,0.004593266639858484,1.0
