round,global_accuracy,global_loss,round_duration_s,participating_clients,bytes_sent,bytes_received,messages_sent,messages_received,mean_local_loss,mean_local_accuracy
1,0.9318181818181818,0.2617359161376953,0.0041845790001389105,2,8256,8272,2,2,0.04136225767433643,0.996875
2,0.9261363636363636,0.2340393215417862,0.004165172999819333,2,8256,8272,2,2,0.038203480653464794,0.990625
3,0.9261363636363636,0.22465337812900543,0.005666877000066961,2,8256,8272,2,2,0.022823059931397438,1.0
4,0.9318181818181818,0.22628559172153473,0.004452809999975216,2,8256,8272,2,2,0.026504839304834604,0.9984375
5,0.9318181818181818,0.20921684801578522,0.004374933000008241,2,8256,8272,2,2,0.016161732841283083,1.0
6,0.9318181818181818,0.2031853049993515,0.004183007999927213,2,8256,8272,2,2,0.014553374610841274,1.0
7,0.9261363636363636,0.20285628736019135,0.005473621999954048,2,8256,8272,2,2,0.014874682296067476,1.0
8,0.9375,0.20212608575820923,0.004197463999844331,2,8256,8272,2,2,0.0121370661072433,1.0
9,0.9375,0.1996622234582901,0.004137656000011702,2,8256,8272,2,2,0.011172160506248474,1.0
10,0.9375,0.19786228239536285,0.005359646999977485,2,8256,8272,2,2,0.010601030196994543,1.0
11,0.9375,0.19712062180042267,0.004552518000082273,2,8256,8272,2,2,0.00985746132209897,1.0
12,0.9375,0.19700674712657928,0.005009162000078504,2,8256,8272,2,2,0.009300543228164315,1.0
13,0.9375,0.19463925063610077,0.005570211000076597,2,8256,8272,2,2,0.009272583993151784,1.0
14,0.9431818181818182,0.19702473282814026,0.006990816000097766,2,8256,8272,2,2,0.008316614432260394,1.0
15,0.9431818181818182,0.1963648647069931,0.004225529999985156,2,8256,8272,2,2,0.008056539809331298,1.0
16,0.9431818181818182,0.1945575326681137,0.005802097000014328,2,8256,8272,2,2,0.007690427592024207,1.0
17,0.9431818181818182,0.1919538825750351,0.00916737300008208,2,8256,8272,2,2,0.00736850150860846,1.0
18,0.9431818181818182,0.19094134867191315,0.005669048999834558,2,8256,8272,2,2,0.007242476800456643,1.0
19,0.9431818181818182,0.19176283478736877,0.008479474000068876,2,8256,8272,2,2,0.006955871824175119,1.0
20,0.9431818181818182,0.1928645521402359,0.007552827000154139,2,8256,8272,2,2,0.00667579285800457,1.0
21,0.9431818181818182,0.19212673604488373,0.007502846000079444,2,8256,8272,2,2,0.006458426592871547,1.0
22,0.9431818181818182,0.19315747916698456,0.008744535999994696,2,8256,8272,2,2,0.006178790470585227,1.0
23,0.9431818181818182,0.19212402403354645,0.009159186000033515,2,8256,8272,2,2,0.005943459691479802,1.0
24,0.9431818181818182,0.1909409910440445,0.005665597999950478,2,8256,8272,2,2,0.005859678843989968,1.0
25,0.9431818181818182,0.19311881065368652,0.006241980000140757,2,8256,8272,2,2,0.0057043463457375765,1.0
