round,global_accuracy,global_loss,round_duration_s,participating_clients,bytes_sent,bytes_received,messages_sent,messages_received,mean_local_loss,mean_local_accuracy
1,0.9147727272727273,0.30885639786720276,0.002763804999972308,5,20640,5300,5,5,0.10182842947542667,0.9743772893772894
2,0.9261363636363636,0.26129376888275146,0.002566191999903822,5,20640,5300,5,5,0.037630151584744455,0.9982142857142857
3,0.8863636363636364,0.26575958728790283,0.002508163000015884,5,20640,5300,5,5,0.04074903335422277,0.9982142857142857
4,0.9318181818181818,0.2323230355978012,0.0025937829999520545,5,20640,5300,5,5,0.05143901165574789,0.9876923076923076
5,0.9318181818181818,0.236802339553833,0.002522988999999143,5,20640,5300,5,5,0.03645800221711397,0.9958549222797928
6,0.9147727272727273,0.2279079109430313,0.002552466999986791,5,20640,5300,5,5,0.025735275261104106,1.0
7,0.9261363636363636,0.21914142370224,0.0024888189999501265,5,20640,5300,5,5,0.02371400222182274,1.0
8,0.9261363636363636,0.2141493856906891,0.0025986440000451694,5,20640,5300,5,5,0.021070532873272894,1.0
9,0.9261363636363636,0.2121671587228775,0.0025611129999560944,5,20640,5300,5,5,0.019891639053821564,1.0
10,0.9318181818181818,0.2090766429901123,0.002607157000056759,5,20640,5300,5,5,0.032626793067902324,0.9876923076923076
11,0.9318181818181818,0.20500434935092926,0.002551990999904774,5,20640,5300,5,5,0.018123193364590406,1.0
12,0.9318181818181818,0.20379576086997986,0.002517505000014353,5,20640,5300,5,5,0.019681769143790006,1.0
13,0.9375,0.20236869156360626,0.002570291999973051,5,20640,5300,5,5,0.016034595668315887,1.0
14,0.9204545454545454,0.22162732481956482,0.002652112999953715,5,20640,5300,5,5,0.015846884157508612,1.0
15,0.9261363636363636,0.2117869257926941,0.0026387890000023617,5,20640,5300,5,5,0.015237916074693204,1.0
16,0.9318181818181818,0.209391787648201,0.0025110710000717518,5,20640,5300,5,5,0.014420730713754892,1.0
17,0.9318181818181818,0.20520520210266113,0.0025170989999878657,5,20640,5300,5,5,0.014574725739657879,1.0
18,0.9261363636363636,0.20567137002944946,0.002574443000071369,5,20640,5300,5,5,0.013698298577219247,1.0
19,0.9261363636363636,0.2030661702156067,0.002507370999978775,5,20640,5300,5,5,0.013251645024865866,1.0
20,0.9318181818181818,0.20173516869544983,0.002630897000017285,5,20640,5300,5,5,0.013161568436771631,1.0
21,0.9318181818181818,0.19936726987361908,0.0026087489999326863,5,20640,5300,5,5,0.01300610788166523,1.0
22,0.9261363636363636,0.19854432344436646,0.0025843399999985195,5,20640,5300,5,5,0.012577276211231947,1.0
23,0.9261363636363636,0.1977480947971344,0.002493572000048516,5,20640,5300,5,5,0.012312081456184388,1.0
24,0.9318181818181818,0.19695663452148438,0.0024544400000650057,5,20640,5300,5,5,0.012054901849478484,1.0
25,0.9318181818181818,0.19877371191978455,0.002467009000042708,5,20640,5300,5,5,0.011778069753199815,1.0
