round,global_accuracy,global_loss,round_duration_s,participating_clients,bytes_sent,bytes_received,messages_sent,messages_received,mean_local_loss,mean_local_accuracy
1,0.8465909090909091,0.40421822667121887,0.0024506219999693712,2,8256,2120,2,2,0.11081468127667904,0.9563492063492063
2,0.8863636363636364,0.2647552192211151,0.0023927249999360356,2,8256,2120,2,2,0.03674138896167278,0.9976190476190476
3,0.9375,0.2511841654777527,0.00233418300001631,2,8256,2120,2,2,0.01567112933844328,1.0
4,0.9147727272727273,0.2532193064689636,0.002344176999940828,2,8256,2120,2,2,0.014323422685265541,1.0
5,0.9318181818181818,0.2472379356622696,0.002362100000027567,2,8256,2120,2,2,0.010356999933719635,1.0
6,0.9318181818181818,0.2521041929721832,0.002302546999999322,2,8256,2120,2,2,0.01047728443518281,1.0
7,0.9261363636363636,0.26028212904930115,0.0022923579999769572,2,8256,2120,2,2,0.010990319307893515,1.0
8,0.9318181818181818,0.25175055861473083,0.0023268509999070375,2,8256,2120,2,2,0.008828009944409132,1.0
9,0.9318181818181818,0.26450908184051514,0.0023824289999083703,2,8256,2120,2,2,0.00849492265842855,1.0
10,0.9318181818181818,0.267162024974823,0.002286111999978857,2,8256,2120,2,2,0.008027475792914629,1.0
11,0.9375,0.26109325885772705,0.0023015479999912714,2,8256,2120,2,2,0.008507964201271534,1.0
12,0.9318181818181818,0.24935616552829742,0.0022915999999213454,2,8256,2120,2,2,0.007943973876535892,1.0
13,0.9261363636363636,0.2557421922683716,0.0023271940000313407,2,8256,2120,2,2,0.006474088178947568,1.0
14,0.9261363636363636,0.2587272822856903,0.002335472000027039,2,8256,2120,2,2,0.007495975587517023,1.0
15,0.9261363636363636,0.2721700072288513,0.0023244409999279014,2,8256,2120,2,2,0.006810445338487625,1.0
16,0.9261363636363636,0.275377482175827,0.0023591160000933087,2,8256,2120,2,2,0.007481287466362119,1.0
17,0.9261363636363636,0.2753826677799225,0.0023276729999679446,2,8256,2120,2,2,0.006348979659378529,1.0
18,0.9375,0.2707180976867676,0.0023458059999938996,2,8256,2120,2,2,0.007613113150000572,1.0
19,0.9375,0.2839827239513397,0.0024266200000511162,2,8256,2120,2,2,0.005178008694201708,1.0
20,0.9318181818181818,0.29362761974334717,0.002429949999964265,2,8256,2120,2,2,0.005674843909218907,1.0
21,0.9261363636363636,0.29309728741645813,0.002278196000020216,2,8256,2120,2,2,0.006611916469410062,1.0
22,0.9318181818181818,0.297173410654068,0.002292379999971672,2,8256,2120,2,2,0.006316582439467311,1.0
23,0.9261363636363636,0.3063586950302124,0.0022832179998886204,2,8256,2120,2,2,0.005915732472203672,1.0
24,0.9261363636363636,0.2919825315475464,0.0023638290000462803,2,8256,2120,2,2,0.0053668980253860354,1.0
25,0.9261363636363636,0.2940981686115265,0.0023730809999733538,2,8256,2120,2,2,0.0069379761116579175,1.0
