clients,final_accuracy_mean,final_accuracy_std,final_accuracy_ci_low,final_accuracy_ci_high,final_loss_mean,final_loss_std,final_loss_ci_low,final_loss_ci_high,best_accuracy_mean,rounds_to_90_best_mean,convergence_slope_last5,instability_events_mean,notes
2,0.9375,0.005681818181818232,0.9233844419981648,0.9516155580018352,0.219175656636556,0.024067993000946534,0.15938262202665496,0.27896869124645707,0.946969696969697,1.3333333333333333,-1.0019789120922664e-16,0.3333333333333333,Stable convergence under Dirichlet non-IID partitioning.
5,0.9356060606060607,0.008679120634386077,0.9140441895994111,0.9571679316127102,0.2003502150376638,0.006488061951645493,0.18423167483322445,0.21646875524210313,0.9412878787878788,1.0,-4.1341957609787186e-17,0.6666666666666666,Stable convergence under Dirichlet non-IID partitioning.
10,0.9337121212121212,0.011827647724239434,0.904328244056209,0.9630959983680334,0.20184852679570517,0.019337702720773006,0.15380713306529795,0.2498899205261124,0.9450757575757576,1.0,-0.00037878787878788264,0.0,Stable convergence under Dirichlet non-IID partitioning.
20,0.9375,0.005681818181818232,0.9233844419981648,0.9516155580018352,0.19333128134409586,0.012610132913447389,0.1620034463351876,0.22465911635300412,0.9507575757575758,1.0,-0.0003787878787879965,0.3333333333333333,Stable convergence under Dirichlet non-IID partitioning.
