round,global_accuracy,global_loss,round_duration_s,participating_clients,bytes_sent,bytes_received,messages_sent,messages_received,mean_local_loss,mean_local_accuracy
1,0.9204545454545454,0.43902480602264404,0.004389928999898984,20,82560,21200,20,20,0.034800630922836716,0.9994444444444445
2,0.9375,0.34522220492362976,0.004255452000052173,20,82560,21200,20,20,0.035943190054968,0.9986507936507937
3,0.9375,0.30479487776756287,0.004219113999965884,20,82560,21200,20,20,0.047724931966513395,0.9972222222222222
4,0.9261363636363636,0.2811317443847656,0.004117096999948444,20,82560,21200,20,20,0.05831638122908771,0.9857142857142858
5,0.9318181818181818,0.25161176919937134,0.004196544999899743,20,82560,21200,20,20,0.02822275520302355,0.9972222222222222
6,0.9318181818181818,0.24879013001918793,0.004123132000017904,20,82560,21200,20,20,0.24915311466902496,0.9638888888888889
7,0.9318181818181818,0.23917464911937714,0.0042917469999110835,20,82560,21200,20,20,0.16862876855302603,0.9722222222222222
8,0.9318181818181818,0.23855005204677582,0.004153529000063827,20,82560,21200,20,20,0.17639072937890887,0.9666666666666667
9,0.9318181818181818,0.22350163757801056,0.003977581999947688,20,82560,21200,20,20,0.023582468228414654,1.0
10,0.9318181818181818,0.21413348615169525,0.003986734000022807,20,82560,21200,20,20,0.02406788058578968,1.0
11,0.9318181818181818,0.2148074209690094,0.004129972999976417,20,82560,21200,20,20,0.023614489077590405,1.0
12,0.9431818181818182,0.20633935928344727,0.0041452709999703075,20,82560,21200,20,20,0.02017634278163314,1.0
13,0.9431818181818182,0.20794834196567535,0.004081146999965313,20,82560,21200,20,20,0.16099098427221178,0.9666666666666667
14,0.9431818181818182,0.20208849012851715,0.004249470999980076,20,82560,21200,20,20,0.01989615724887699,1.0
15,0.9488636363636364,0.19940339028835297,0.004159899999990557,20,82560,21200,20,20,0.022294976143166424,0.9972222222222222
16,0.9431818181818182,0.19427576661109924,0.004022143000042888,20,82560,21200,20,20,0.018978130584582687,1.0
17,0.9488636363636364,0.19575618207454681,0.004019259000074271,20,82560,21200,20,20,0.1328769024228677,0.9722222222222222
18,0.9488636363636364,0.19329045712947845,0.004049724999958926,20,82560,21200,20,20,0.018044337118044495,1.0
19,0.9488636363636364,0.18675856292247772,0.004194801000039661,20,82560,21200,20,20,0.059236505068838596,0.9972222222222222
20,0.9431818181818182,0.18398497998714447,0.004053624999983185,20,82560,21200,20,20,0.10063444529660046,0.9777777777777777
21,0.9431818181818182,0.18297706544399261,0.004044330000056107,20,82560,21200,20,20,0.017068909970112144,1.0
22,0.9431818181818182,0.18252073228359222,0.004084693000095285,20,82560,21200,20,20,0.01676627097185701,1.0
23,0.9431818181818182,0.17999447882175446,0.004123215999925378,20,82560,21200,20,20,0.020758185442537068,1.0
24,0.9431818181818182,0.181303009390831,0.004179924000027313,20,82560,21200,20,20,0.016137134050950408,1.0
25,0.9431818181818182,0.18096686899662018,0.004128727999955117,20,82560,21200,20,20,0.015926821762695907,1.0
