round,global_accuracy,global_loss,round_duration_s,participating_clients,bytes_sent,bytes_received,messages_sent,messages_received,mean_local_loss,mean_local_accuracy
1,0.9147727272727273,0.4359801113605499,0.007131055999934688,20,82560,82720,20,20,0.034800630922836716,0.9994444444444445
2,0.9375,0.3427838087081909,0.0071433880000313366,20,82560,82720,20,20,0.03596435273066163,0.9986507936507937
3,0.9375,0.3009759187698364,0.009992633999900136,20,82560,82720,20,20,0.04818297042511403,0.9972222222222222
4,0.9261363636363636,0.27584144473075867,0.007240331000048172,20,82560,82720,20,20,0.053145277639850975,0.9877551020408163
5,0.9431818181818182,0.24887388944625854,0.0070147950000318815,20,82560,82720,20,20,0.02848306717351079,0.9972222222222222
6,0.9261363636363636,0.24482136964797974,0.007011856999952215,20,82560,82720,20,20,0.24621029638219624,0.9638888888888889
7,0.9318181818181818,0.23488402366638184,0.007992890000195985,20,82560,82720,20,20,0.1681353319901973,0.9722222222222222
8,0.9318181818181818,0.23325085639953613,0.007349658999828534,20,82560,82720,20,20,0.1772834938718006,0.9666666666666667
9,0.9318181818181818,0.21754828095436096,0.007194717999936984,20,82560,82720,20,20,0.023409604863263666,1.0
10,0.9318181818181818,0.21071650087833405,0.007037119999949937,20,82560,82720,20,20,0.023392939008772373,1.0
11,0.9318181818181818,0.20935878157615662,0.0077137979999406525,20,82560,82720,20,20,0.02343882843852043,1.0
12,0.9375,0.20317359268665314,0.00982728799999677,20,82560,82720,20,20,0.02018526545725763,1.0
13,0.9375,0.20158767700195312,0.007169968999960474,20,82560,82720,20,20,0.1614027279196307,0.9666666666666667
14,0.9431818181818182,0.19759751856327057,0.007210473999975875,20,82560,82720,20,20,0.019914188515394927,1.0
15,0.9431818181818182,0.19487208127975464,0.007176577000109319,20,82560,82720,20,20,0.025831925100646913,0.9972222222222222
16,0.9488636363636364,0.190651074051857,0.009487129000035566,20,82560,82720,20,20,0.01899775620549917,1.0
17,0.9488636363636364,0.19066299498081207,0.007221825999977227,20,82560,82720,20,20,0.13317443456035108,0.9694444444444444
18,0.9488636363636364,0.1872999221086502,0.007043557000088185,20,82560,82720,20,20,0.018002510885708034,1.0
19,0.9431818181818182,0.18338944017887115,0.007039046999807397,20,82560,82720,20,20,0.059472863050177696,0.9972222222222222
20,0.9431818181818182,0.1811123788356781,0.009595598000032624,20,82560,82720,20,20,0.1075680028181523,0.975
21,0.9431818181818182,0.1805255115032196,0.008851248999917516,20,82560,82720,20,20,0.017077390756458043,1.0
22,0.9431818181818182,0.1802932769060135,0.0071478479999314,20,82560,82720,20,20,0.01686256241519004,1.0
23,0.9431818181818182,0.17924676835536957,0.00841934000004585,20,82560,82720,20,20,0.020293025765568018,1.0
24,0.9431818181818182,0.1806468516588211,0.008709325000154422,20,82560,82720,20,20,0.01621562927030027,1.0
25,0.9431818181818182,0.17992570996284485,0.007293408999885287,20,82560,82720,20,20,0.01585036425385624,1.0
