comparison,test,p_value,effect_size,significant,notes
2 vs 5 clients,Exact permutation,0.3,-1.2309149097933312,NO,n=3 per setting
5 vs 10 clients,Exact permutation,1.0,0.0,NO,n=3 per setting
10 vs 20 clients,Exact permutation,1.0,-0.28867513459480304,NO,n=3 per setting
