clients,mean_round_time_sec,mean_total_time_min,messages_per_round_mean,total_messages_mean,bytes_sent_mb_mean,bytes_received_mb_mean,accuracy_per_mb_mean,notes
2,0.0022499523466664563,0.0009479211000003336,4.0,100.0,0.19683837890625,0.026035308837890625,4.14693377938564,Stable convergence under Dirichlet non-IID partitioning.
5,0.002643939186670347,0.0011144965944443659,10.0,250.0,0.492095947265625,0.06508827209472656,1.6757691419976402,Stable convergence under Dirichlet non-IID partitioning.
10,0.003492636133334296,0.0014706799499997992,20.0,500.0,0.98419189453125,0.13017654418945312,0.8378845709988201,Stable convergence under Dirichlet non-IID partitioning.
20,0.004118754599996161,0.001734040588889406,40.0,1000.0,1.9683837890625,0.26035308837890625,0.4197920670115792,Stable convergence under Dirichlet non-IID partitioning.
