clients,final_accuracy_mean,final_accuracy_std,final_accuracy_ci_low,final_accuracy_ci_high,final_loss_mean,final_loss_std,final_loss_ci_low,final_loss_ci_high,best_accuracy_mean,rounds_to_90_best_mean,convergence_slope_last5,instability_events_mean,notes
2,0.9242424242424242,0.006560798513518469,0.9079431818181818,0.9405416666666666,0.26006078720092773,0.010700352872970373,0.23347749171606907,0.2866440826857864,0.9412878787878788,1.3333333333333333,0.0005681818181818467,0.0,Stable convergence under Dirichlet non-IID partitioning.
5,0.9337121212121212,0.008679120634386089,0.9121502502054717,0.9552739922187707,0.21075541774431863,0.0048622191878967425,0.19867602083858574,0.22283481465005153,0.9393939393939393,1.0,0.0009469696969696239,0.3333333333333333,Stable convergence under Dirichlet non-IID partitioning.
10,0.9337121212121212,0.008679120634386089,0.9121502502054717,0.9552739922187707,0.21485709150632223,0.028296520280656476,0.14455896501050183,0.2851552180021426,0.9393939393939394,1.0,0.00018939393939383886,0.0,Stable convergence under Dirichlet non-IID partitioning.
20,0.9356060606060606,0.0032803992567592664,0.9274564393939393,0.9437556818181818,0.19758791228135428,0.012765463412442673,0.16587418377887414,0.22930164078383442,0.9507575757575758,1.0,-0.0003787878787879987,0.3333333333333333,Stable convergence under Dirichlet non-IID partitioning.
