round,global_accuracy,global_loss,round_duration_s,participating_clients,bytes_sent,bytes_received,messages_sent,messages_received,mean_local_loss,mean_local_accuracy
1,0.9318181818181818,0.41232940554618835,0.003885968999952638,20,82560,10920,20,20,0.03612918446306139,0.999537037037037
2,0.9375,0.3359258472919464,0.003979998999966483,20,82560,10920,20,20,0.06862723198860295,0.989537037037037
3,0.9375,0.29447269439697266,0.00398411000003307,20,82560,10920,20,20,0.03974481740151532,0.9942857142857143
4,0.9431818181818182,0.2722465991973877,0.0038801670000339072,20,82560,10920,20,20,0.03062037686468173,0.9985714285714286
5,0.9431818181818182,0.26567575335502625,0.0038580620000630006,20,82560,10920,20,20,0.026476313872264255,1.0
6,0.9318181818181818,0.25115564465522766,0.0040391569999655985,20,82560,10920,20,20,0.024641956575254653,1.0
7,0.9375,0.23967677354812622,0.00381550800000241,20,82560,10920,20,20,0.029587552743112155,1.0
8,0.9375,0.2315424382686615,0.0038722680000091714,20,82560,10920,20,20,0.023544253082957312,1.0
9,0.9375,0.22931979596614838,0.0037722319999602405,20,82560,10920,20,20,0.03325290679943009,0.9971428571428571
10,0.9375,0.225135937333107,0.0038934749999270934,20,82560,10920,20,20,0.022047169122538436,1.0
11,0.9375,0.22803553938865662,0.003844604000050822,20,82560,10920,20,20,0.021267634504965827,0.9991071428571429
12,0.9375,0.2173750251531601,0.0038958390000516374,20,82560,10920,20,20,0.02227373860541775,1.0
13,0.9261363636363636,0.22312520444393158,0.003967073000012533,20,82560,10920,20,20,0.01964530198747525,1.0
14,0.9318181818181818,0.22267840802669525,0.004107504999979028,20,82560,10920,20,20,0.01944897579633107,1.0
15,0.9375,0.21667413413524628,0.004056435000052261,20,82560,10920,20,20,0.019072591771691804,1.0
16,0.9375,0.2140371948480606,0.0040150130000711215,20,82560,10920,20,20,0.018134138327877736,1.0
17,0.9375,0.21831464767456055,0.0040735780000886734,20,82560,10920,20,20,0.01892090538749471,1.0
18,0.9318181818181818,0.20745442807674408,0.003977842000040255,20,82560,10920,20,20,0.01826374235388357,1.0
19,0.9318181818181818,0.21076688170433044,0.0039852029999565275,20,82560,10920,20,20,0.01703174664507969,1.0
20,0.9318181818181818,0.21023960411548615,0.0038975180000306864,20,82560,10920,20,20,0.016559709803550503,1.0
21,0.9375,0.20851193368434906,0.004048641999929714,20,82560,10920,20,20,0.016333491961995607,1.0
22,0.9488636363636364,0.2110367715358734,0.004033449999951699,20,82560,10920,20,20,0.017145861031895037,1.0
23,0.9375,0.2108742594718933,0.0041176539999696615,20,82560,10920,20,20,0.016065131101640873,1.0
24,0.9318181818181818,0.21230429410934448,0.0040439399999741,20,82560,10920,20,20,0.015848563125473447,1.0
25,0.9375,0.21172744035720825,0.004104290999976001,20,82560,10920,20,20,0.01596079473674763,1.0
