round,global_accuracy,global_loss,round_duration_s,participating_clients,bytes_sent,bytes_received,messages_sent,messages_received,mean_local_loss,mean_local_accuracy
1,0.9261363636363636,0.3219829797744751,0.0027237300000706455,5,20640,5300,5,5,0.056727916747331616,0.9963987575228112
2,0.9375,0.27690619230270386,0.0026083580000886286,5,20640,5300,5,5,0.16743522919714451,0.9705882352941176
3,0.9431818181818182,0.23783284425735474,0.0025877269999909913,5,20640,5300,5,5,0.04119856469333172,0.9970588235294118
4,0.9375,0.23221565783023834,0.0025927780000074563,5,20640,5300,5,5,0.02895543947815895,1.0
5,0.9375,0.22225691378116608,0.0026086250001071676,5,20640,5300,5,5,0.027064410597085954,1.0
6,0.9375,0.22151508927345276,0.002719484000067496,5,20640,5300,5,5,0.02716873474419117,1.0
7,0.9375,0.22165602445602417,0.0026129189999437585,5,20640,5300,5,5,0.024283483624458313,1.0
8,0.9375,0.21638718247413635,0.0026258930000722103,5,20640,5300,5,5,0.02161943316459656,1.0
9,0.9375,0.20594410598278046,0.002687937000018792,5,20640,5300,5,5,0.02044331282377243,1.0
10,0.9318181818181818,0.20775975286960602,0.0026075339999351854,5,20640,5300,5,5,0.02062854040414095,1.0
11,0.9375,0.21348422765731812,0.002592133999996804,5,20640,5300,5,5,0.019066619500517846,1.0
12,0.9375,0.2109198421239853,0.0026711300000670235,5,20640,5300,5,5,0.018532745353877545,1.0
13,0.9375,0.20908784866333008,0.002582426999993004,5,20640,5300,5,5,0.017627843655645847,1.0
14,0.9375,0.204485222697258,0.0026439960000743667,5,20640,5300,5,5,0.02715560495853424,1.0
15,0.9375,0.20387545228004456,0.0025876830000015616,5,20640,5300,5,5,0.017408203333616257,1.0
16,0.9261363636363636,0.21642480790615082,0.002630995000004077,5,20640,5300,5,5,0.018170409835875034,1.0
17,0.9318181818181818,0.20993466675281525,0.0026917580000827,5,20640,5300,5,5,0.01876166630536318,1.0
18,0.9318181818181818,0.20710398256778717,0.0026021339999715565,5,20640,5300,5,5,0.016517978440970183,1.0
19,0.9318181818181818,0.2043292373418808,0.0025853170000118553,5,20640,5300,5,5,0.015562068112194538,1.0
20,0.9375,0.20325340330600739,0.0025819899999532936,5,20640,5300,5,5,0.015264901518821716,1.0
21,0.9375,0.19859758019447327,0.002610317000062423,5,20640,5300,5,5,0.014598306454718112,1.0
22,0.9375,0.19645358622074127,0.002784917999974823,5,20640,5300,5,5,0.014582356438040733,1.0
23,0.9431818181818182,0.1947125941514969,0.002626878000000943,5,20640,5300,5,5,0.014423427917063237,1.0
24,0.9375,0.1962028592824936,0.002600629999960802,5,20640,5300,5,5,0.013909506518393755,1.0
25,0.9375,0.19552597403526306,0.0025812610000457425,5,20640,5300,5,5,0.013120530825108289,1.0
