round,global_accuracy,global_loss,round_duration_s,participating_clients,bytes_sent,bytes_received,messages_sent,messages_received,mean_local_loss,mean_local_accuracy
1,0.9431818181818182,0.2950795888900757,0.0028923969999823385,5,20640,5300,5,5,0.045912153320387006,0.9921568627450981
2,0.9261363636363636,0.2543644905090332,0.0027530980000847194,5,20640,5300,5,5,0.0372788505628705,0.9941176470588236
3,0.9261363636363636,0.22735834121704102,0.0027293389999840656,5,20640,5300,5,5,0.022837903536856174,1.0
4,0.9375,0.22777003049850464,0.0027254180000682027,5,20640,5300,5,5,0.028334574587643147,0.9941176470588236
5,0.9261363636363636,0.22487419843673706,0.002764733999924829,5,20640,5300,5,5,0.01790666952729225,1.0
6,0.9090909090909091,0.23298712074756622,0.0028159370000366835,5,20640,5300,5,5,0.02514307564124465,1.0
7,0.9204545454545454,0.2177710086107254,0.0027311449999842807,5,20640,5300,5,5,0.01512853829190135,1.0
8,0.9261363636363636,0.21938729286193848,0.0027504979999548596,5,20640,5300,5,5,0.013775731064379215,1.0
9,0.9261363636363636,0.2110482156276703,0.002804806999961329,5,20640,5300,5,5,0.012921491544693709,1.0
10,0.9261363636363636,0.2127610296010971,0.0027498990000367485,5,20640,5300,5,5,0.013299242220818996,1.0
11,0.9261363636363636,0.20582589507102966,0.0027259259999254937,5,20640,5300,5,5,0.012025891058146953,1.0
12,0.9261363636363636,0.20286160707473755,0.0027077909999206895,5,20640,5300,5,5,0.012306564766913653,1.0
13,0.9318181818181818,0.2047477662563324,0.0027263619999757793,5,20640,5300,5,5,0.010853049624711276,1.0
14,0.9318181818181818,0.20556920766830444,0.002750472999991871,5,20640,5300,5,5,0.01101785833016038,1.0
15,0.9375,0.20879393815994263,0.0027854969999907553,5,20640,5300,5,5,0.010583365429192781,1.0
16,0.9375,0.20303310453891754,0.0027219449999620338,5,20640,5300,5,5,0.01012400696054101,1.0
17,0.9318181818181818,0.20896488428115845,0.0026618819999839616,5,20640,5300,5,5,0.009266140218824149,1.0
18,0.9261363636363636,0.21534976363182068,0.00265742399994906,5,20640,5300,5,5,0.010022455733269453,1.0
19,0.9375,0.20351485908031464,0.002694088999987798,5,20640,5300,5,5,0.009758821688592434,1.0
20,0.9431818181818182,0.21006827056407928,0.0026485810000167476,5,20640,5300,5,5,0.008465916384011507,1.0
21,0.9431818181818182,0.2023184448480606,0.002698500000064996,5,20640,5300,5,5,0.00912496391683817,1.0
22,0.9375,0.21133188903331757,0.002778757999976733,5,20640,5300,5,5,0.009096570871770382,1.0
23,0.9431818181818182,0.2220749408006668,0.0028185369999391696,5,20640,5300,5,5,0.009082606621086597,1.0
24,0.9431818181818182,0.22666515409946442,0.0027106430000003456,5,20640,5300,5,5,0.008348269667476416,1.0
25,0.9261363636363636,0.23372715711593628,0.002751338999928521,5,20640,5300,5,5,0.009024736192077398,1.0
