round,global_accuracy,global_loss,round_duration_s,participating_clients,bytes_sent,bytes_received,messages_sent,messages_received,mean_local_loss,mean_local_accuracy
1,0.9375,0.366819828748703,0.0030714940000962088,10,41280,5460,10,10,0.033213190670358016,1.0
2,0.9375,0.2946736514568329,0.005704742000034457,10,41280,5460,10,10,0.051051849778741595,0.9956521739130435
3,0.9431818181818182,0.2681957185268402,0.005773626999939552,10,41280,5460,10,10,0.03809602269902825,0.9985507246376811
4,0.9431818181818182,0.24701166152954102,0.0029422769999882803,10,41280,5460,10,10,0.024079225165769456,1.0
5,0.9375,0.2384592890739441,0.0029217219999964072,10,41280,5460,10,10,0.024816048704087733,1.0
6,0.9375,0.2394540160894394,0.0028711989999692378,10,41280,5460,10,10,0.02250048369169235,1.0
7,0.9375,0.22924722731113434,0.003193739000039386,10,41280,5460,10,10,0.019226544816046954,1.0
8,0.9375,0.2253105789422989,0.006123849000005066,10,41280,5460,10,10,0.020161811262369156,1.0
9,0.9431818181818182,0.21577110886573792,0.0028932440000062343,10,41280,5460,10,10,0.017081514140591024,1.0
10,0.9375,0.21071778237819672,0.002878925999993953,10,41280,5460,10,10,0.01976347966119647,1.0
11,0.9375,0.2107478231191635,0.0028671129999793266,10,41280,5460,10,10,0.02087966613471508,1.0
12,0.9375,0.21161413192749023,0.002986598999996204,10,41280,5460,10,10,0.016638065269216896,1.0
13,0.9431818181818182,0.2108696550130844,0.0028522679999696265,10,41280,5460,10,10,0.016767595056444408,1.0
14,0.9375,0.21198073029518127,0.0029029419999915262,10,41280,5460,10,10,0.017594349570572376,1.0
15,0.9375,0.2127532958984375,0.0028191100000185543,10,41280,5460,10,10,0.016480809543281794,1.0
16,0.9318181818181818,0.21206651628017426,0.0030223200000136785,10,41280,5460,10,10,0.01378468405455351,1.0
17,0.9375,0.21067143976688385,0.0028450690000454415,10,41280,5460,10,10,0.014319119276478887,1.0
18,0.9375,0.20872892439365387,0.0028715380000221558,10,41280,5460,10,10,0.015132003789767623,1.0
19,0.9375,0.20506280660629272,0.0028752350000331717,10,41280,5460,10,10,0.014187992829829455,1.0
20,0.9375,0.207344189286232,0.0028648230000953845,10,41280,5460,10,10,0.012951382342725993,1.0
21,0.9375,0.2062341719865799,0.003049031000045943,10,41280,5460,10,10,0.012884125486016274,1.0
22,0.9375,0.20565548539161682,0.0033017010000548908,10,41280,5460,10,10,0.012666015699505807,1.0
23,0.9375,0.2071695774793625,0.002966988999901332,10,41280,5460,10,10,0.012722252169623971,1.0
24,0.9318181818181818,0.21100497245788574,0.0029865399999380315,10,41280,5460,10,10,0.012763124192133546,1.0
25,0.9318181818181818,0.21233528852462769,0.002830155999959061,10,41280,5460,10,10,0.013264727545902133,1.0
