round,global_accuracy,global_loss,round_duration_s,participating_clients,bytes_sent,bytes_received,messages_sent,messages_received,mean_local_loss,mean_local_accuracy
1,0.9375,0.36359769105911255,0.0034396099999867147,10,41280,10600,10,10,0.033213190670358016,1.0
2,0.9431818181818182,0.2926176190376282,0.003404749999958767,10,41280,10600,10,10,0.051724998746067286,0.9956521739130435
3,0.9431818181818182,0.26579001545906067,0.003338618999919163,10,41280,10600,10,10,0.03840268142521382,0.9971014492753623
4,0.9431818181818182,0.24533915519714355,0.0032921920000035243,10,41280,10600,10,10,0.02409386928193271,1.0
5,0.9431818181818182,0.23558560013771057,0.003393082000002323,10,41280,10600,10,10,0.02524268226698041,1.0
6,0.9375,0.23182812333106995,0.003396318000000065,10,41280,10600,10,10,0.022460910305380822,1.0
7,0.9431818181818182,0.22328338027000427,0.003524171999970349,10,41280,10600,10,10,0.019627236714586615,1.0
8,0.9431818181818182,0.21830272674560547,0.0035579519999373588,10,41280,10600,10,10,0.02037702463567257,1.0
9,0.9431818181818182,0.2101512998342514,0.0035717629999680867,10,41280,10600,10,10,0.017626176122576,1.0
10,0.9488636363636364,0.2025253176689148,0.0037109969999846726,10,41280,10600,10,10,0.021487958170473574,1.0
11,0.9431818181818182,0.20382218062877655,0.0035623750000013388,10,41280,10600,10,10,0.0206771032884717,1.0
12,0.9488636363636364,0.20736080408096313,0.003455702999985988,10,41280,10600,10,10,0.017372017633169888,1.0
13,0.9431818181818182,0.20322899520397186,0.003528000999949654,10,41280,10600,10,10,0.0169659074395895,1.0
14,0.9488636363636364,0.2008827179670334,0.0034074819999432293,10,41280,10600,10,10,0.017591912671923636,1.0
15,0.9431818181818182,0.20468448102474213,0.003400637000027018,10,41280,10600,10,10,0.016383093036711215,1.0
16,0.9431818181818182,0.20215821266174316,0.003445617000011225,10,41280,10600,10,10,0.013782204780727624,1.0
17,0.9431818181818182,0.20552752912044525,0.003425463999974454,10,41280,10600,10,10,0.014077084138989449,1.0
18,0.9488636363636364,0.20400649309158325,0.0034707439999692724,10,41280,10600,10,10,0.014691467164084315,1.0
19,0.9488636363636364,0.2006234973669052,0.0035088160000213975,10,41280,10600,10,10,0.014184191823005676,1.0
20,0.9488636363636364,0.2024223953485489,0.0034701040000300054,10,41280,10600,10,10,0.01259176228195429,1.0
21,0.9488636363636364,0.20356746017932892,0.0033459070000390057,10,41280,10600,10,10,0.012743916735053063,1.0
22,0.9488636363636364,0.2042211890220642,0.003319018000070173,10,41280,10600,10,10,0.012710699951276183,1.0
23,0.9431818181818182,0.20081819593906403,0.0033157159999746,10,41280,10600,10,10,0.012650430947542191,1.0
24,0.9375,0.19675010442733765,0.003287155999942115,10,41280,10600,10,10,0.01256286883726716,1.0
25,0.9375,0.19663849472999573,0.0033424340000465236,10,41280,10600,10,10,0.013189239706844092,1.0
