round,global_accuracy,global_loss,round_duration_s,participating_clients,bytes_sent,bytes_received,messages_sent,messages_received,mean_local_loss,mean_local_accuracy
1,0.9318181818181818,0.2687199115753174,0.0024506480000354713,2,8256,2120,2,2,0.04136225767433643,0.996875
2,0.9318181818181818,0.2495097666978836,0.0023470639999914056,2,8256,2120,2,2,0.037478757090866566,0.9921875
3,0.9261363636363636,0.23968406021595,0.0023412360000065746,2,8256,2120,2,2,0.022679288871586323,1.0
4,0.9261363636363636,0.2404237687587738,0.002327696000065771,2,8256,2120,2,2,0.026795501355081797,0.9984375
5,0.9261363636363636,0.22363489866256714,0.0023773489999712183,2,8256,2120,2,2,0.01592446258291602,1.0
6,0.9375,0.21822045743465424,0.0023171450000063487,2,8256,2120,2,2,0.014604299794882536,1.0
7,0.9431818181818182,0.21108311414718628,0.002349528000081591,2,8256,2120,2,2,0.014663286972790956,1.0
8,0.9488636363636364,0.21408423781394958,0.0023782790000268506,2,8256,2120,2,2,0.01232508523389697,1.0
9,0.9431818181818182,0.21432703733444214,0.0023775380000188306,2,8256,2120,2,2,0.011207729578018188,1.0
10,0.9375,0.2040800154209137,0.0023141179999583983,2,8256,2120,2,2,0.010545193683356047,1.0
11,0.9375,0.21290621161460876,0.0023196999999299805,2,8256,2120,2,2,0.009758833330124617,1.0
12,0.9375,0.22165007889270782,0.002353146000018569,2,8256,2120,2,2,0.009379750583320856,1.0
13,0.9375,0.21311382949352264,0.0023245630000019446,2,8256,2120,2,2,0.009341746335849166,1.0
14,0.9375,0.22810298204421997,0.0023065479999786476,2,8256,2120,2,2,0.008572553982958198,1.0
15,0.9318181818181818,0.22836774587631226,0.0023435869999275383,2,8256,2120,2,2,0.008213796885684133,1.0
16,0.9318181818181818,0.23693746328353882,0.0023130420000825325,2,8256,2120,2,2,0.007960147224366665,1.0
17,0.9261363636363636,0.2348853200674057,0.0023690980000310446,2,8256,2120,2,2,0.007766820956021547,1.0
18,0.9261363636363636,0.23486605286598206,0.0022989070000676293,2,8256,2120,2,2,0.007675113854929805,1.0
19,0.9204545454545454,0.23784373700618744,0.002325264999967658,2,8256,2120,2,2,0.007283527869731188,1.0
20,0.9261363636363636,0.24420048296451569,0.0022985680000147113,2,8256,2120,2,2,0.007087394827976823,1.0
21,0.9204545454545454,0.23814868927001953,0.002379112000085115,2,8256,2120,2,2,0.006868580123409629,1.0
22,0.9318181818181818,0.2310037612915039,0.002350191999994422,2,8256,2120,2,2,0.006592483026906848,1.0
23,0.9261363636363636,0.23602357506752014,0.0022525960000621126,2,8256,2120,2,2,0.006432909518480301,1.0
24,0.9147727272727273,0.2318294495344162,0.002280950999988818,2,8256,2120,2,2,0.006183326477184892,1.0
25,0.9204545454545454,0.24277405440807343,0.0022540100000014718,2,8256,2120,2,2,0.005993501981720328,1.0
