round,global_accuracy,global_loss,round_duration_s,participating_clients,bytes_sent,bytes_received,messages_sent,messages_received,mean_local_loss,mean_local_accuracy
1,0.9204545454545454,0.40727531909942627,0.0032914170000140075,10,41280,5460,10,10,0.07289111478021368,0.9817136150234742
2,0.9090909090909091,0.300022155046463,0.0031726319999734187,10,41280,5460,10,10,0.05811052853241563,0.9871830985915493
3,0.9204545454545454,0.2745765745639801,0.0030996189999541457,10,41280,5460,10,10,0.07067762105725706,0.9745305164319249
4,0.9204545454545454,0.26422783732414246,0.003134719999934532,10,41280,5460,10,10,0.03818614380434156,0.99
5,0.9147727272727273,0.2601144313812256,0.0033117149999952744,10,41280,5460,10,10,0.032950346171855924,0.995
6,0.8977272727272727,0.2570919692516327,0.003087329999971189,10,41280,5460,10,10,0.023582438519224525,1.0
7,0.9034090909090909,0.24908314645290375,0.003101181000033648,10,41280,5460,10,10,0.026477923849597573,1.0
8,0.9034090909090909,0.2383439689874649,0.003172270000050048,10,41280,5460,10,10,0.02093163556419313,1.0
9,0.9090909090909091,0.23843275010585785,0.003089285000100972,10,41280,5460,10,10,0.0200684976298362,1.0
10,0.9034090909090909,0.24076126515865326,0.0030924129999903016,10,41280,5460,10,10,0.01893548872321844,1.0
11,0.9147727272727273,0.24052594602108002,0.0031401880000885285,10,41280,5460,10,10,0.0191290604416281,1.0
12,0.9147727272727273,0.23487305641174316,0.003058828000007452,10,41280,5460,10,10,0.018178619211539626,1.0
13,0.9090909090909091,0.2366003543138504,0.0036227900000085356,10,41280,5460,10,10,0.01609557173214853,1.0
14,0.9090909090909091,0.23235496878623962,0.003314318999969146,10,41280,5460,10,10,0.017361469566822052,1.0
15,0.9090909090909091,0.23172785341739655,0.002985211000009258,10,41280,5460,10,10,0.015606541698798538,1.0
16,0.9204545454545454,0.23107542097568512,0.003089595000005829,10,41280,5460,10,10,0.016517417132854463,1.0
17,0.9147727272727273,0.23350657522678375,0.0029891320000388077,10,41280,5460,10,10,0.016314901784062384,1.0
18,0.9147727272727273,0.23402829468250275,0.003593763000026229,10,41280,5460,10,10,0.015093191945925354,1.0
19,0.9204545454545454,0.2372516244649887,0.0028920749999770123,10,41280,5460,10,10,0.03366789459250867,0.99
20,0.9204545454545454,0.23975324630737305,0.0031284969999205714,10,41280,5460,10,10,0.013705218490213156,1.0
21,0.9204545454545454,0.2324908822774887,0.002891000000090571,10,41280,5460,10,10,0.014330297615379095,1.0
22,0.9204545454545454,0.2344314157962799,0.0029225050000150077,10,41280,5460,10,10,0.01444199071265757,1.0
23,0.9204545454545454,0.23530392348766327,0.0030292249999774867,10,41280,5460,10,10,0.014622630039229988,1.0
24,0.9261363636363636,0.24439868330955505,0.0029854309999564066,10,41280,5460,10,10,0.014071603957563638,1.0
25,0.9261363636363636,0.24433010816574097,0.002997042000060901,10,41280,5460,10,10,0.013810701249167324,1.0
